,date_report,health_region,cumulative_cases
53,2020-01-25,Brant County Health Unit,0.0
9,2020-01-25,Calgary Zone,0.0
16,2020-01-25,Central Zone,0.0
54,2020-01-25,Chatham-Kent Health Unit,0.0
23,2020-01-25,City of Hamilton Health Unit,0.0
20,2020-01-25,City of Ottawa Health Unit,0.0
0,2020-01-25,City of Toronto Health Unit,1.0
7,2020-01-25,Durham Regional Health Unit,0.0
29,2020-01-25,Eastern Regional Integrated Health Authority,0.0
12,2020-01-25,Edmonton Zone,0.0
30,2020-01-25,Far North,0.0
5,2020-01-25,Fraser,0.0
39,2020-01-25,Grey Bruce Health Unit,0.0
73,2020-01-25,Haldimand-Norfolk Health Unit,0.0
31,2020-01-25,"Haliburton, Kawartha, Pine Ridge District Health Unit",0.0
17,2020-01-25,Halton Regional Health Unit,0.0
59,2020-01-25,Hastings and Prince Edward Counties Health Unit,0.0
32,2020-01-25,Huron County Health Unit,0.0
4,2020-01-25,Interior,0.0
40,2020-01-25,Interlake-Eastern Regional Health Authority,0.0
49,2020-01-25,"Kingston, Frontenac and Lennox and Addington Health Unit",0.0
33,2020-01-25,Labrador-Grenfell Regional Integrated Health Authority,0.0
74,2020-01-25,Lambton Health Unit,0.0
75,2020-01-25,"Leeds, Grenville and Lanark District Health Unit",0.0
2,2020-01-25,Middlesex-London Health Unit,0.0
28,2020-01-25,Niagara Regional Area Health Unit,0.0
76,2020-01-25,North Bay Parry Sound District Health Unit,0.0
45,2020-01-25,North Zone,0.0
50,2020-01-25,Northern,0.0
62,2020-01-25,Northwest Territories,0.0
35,2020-01-25,Northwestern Health Unit,0.0
1,2020-01-25,Not Reported,0.0
14,2020-01-25,Peel Regional Health Unit,0.0
41,2020-01-25,Peterborough County - City Health Unit,0.0
61,2020-01-25,Porcupine Health Unit,0.0
70,2020-01-25,Prairie Mountain Health,0.0
36,2020-01-25,Prince Edward Island,0.0
37,2020-01-25,Regina,0.0
77,2020-01-25,Renfrew County and District Health Unit,0.0
34,2020-01-25,Région de Lanaudière,0.0
58,2020-01-25,Région de Laval,0.0
6,2020-01-25,Région de Montréal,0.0
67,2020-01-25,Région de l'Abitibi-Témiscamingue,0.0
22,2020-01-25,Région de l'Estrie,0.0
55,2020-01-25,Région de l'Outaouais,0.0
38,2020-01-25,Région de la Capitale-Nationale,0.0
21,2020-01-25,Région de la Chaudière-Appalaches,0.0
69,2020-01-25,Région de la Côte-Nord,0.0
68,2020-01-25,Région de la Gaspésie Îles-de-la-Madeleine,0.0
19,2020-01-25,Région de la Mauricie et du Centre-du-Québec,0.0
13,2020-01-25,Région de la Montérégie,0.0
10,2020-01-25,Région des Laurentides,0.0
78,2020-01-25,Région des Terres-Cries-de-la-Baie-James,0.0
57,2020-01-25,Région du Bas-Saint-Laurent,0.0
60,2020-01-25,Région du Nord-du-Québec,0.0
81,2020-01-25,Région du Nunavik,0.0
63,2020-01-25,Région du Saguenay Lac-Saint-Jean,0.0
24,2020-01-25,Saskatoon,0.0
25,2020-01-25,Simcoe Muskoka District Health Unit,0.0
46,2020-01-25,South Zone,0.0
51,2020-01-25,Southern Health,0.0
15,2020-01-25,Sudbury and District Health Unit,0.0
52,2020-01-25,The District of Algoma Health Unit,0.0
79,2020-01-25,Thunder Bay District Health Unit,0.0
82,2020-01-25,Timiskaming Health Unit,0.0
3,2020-01-25,Vancouver Coastal,0.0
18,2020-01-25,Vancouver Island,0.0
11,2020-01-25,Waterloo Health Unit,0.0
47,2020-01-25,Wellington-Dufferin-Guelph Health Unit,0.0
71,2020-01-25,Western Regional Integrated Health Authority,0.0
64,2020-01-25,Windsor-Essex County Health Unit,0.0
26,2020-01-25,Winnipeg Regional Health Authority,0.0
8,2020-01-25,York Regional Health Unit,0.0
65,2020-01-25,Yukon,0.0
27,2020-01-25,Zone 1,0.0
42,2020-01-25,Zone 1 - Western,0.0
48,2020-01-25,Zone 2,0.0
66,2020-01-25,Zone 2 - Northern,0.0
43,2020-01-25,Zone 3,0.0
56,2020-01-25,Zone 3 - Eastern,0.0
72,2020-01-25,Zone 4,0.0
44,2020-01-25,Zone 4 - Central,0.0
80,2020-01-25,Zone 5,0.0
84,2020-01-25,Zone 6,0.0
83,2020-01-25,Zone 7,0.0
138,2020-01-26,Brant County Health Unit,0.0
94,2020-01-26,Calgary Zone,0.0
101,2020-01-26,Central Zone,0.0
139,2020-01-26,Chatham-Kent Health Unit,0.0
108,2020-01-26,City of Hamilton Health Unit,0.0
105,2020-01-26,City of Ottawa Health Unit,0.0
85,2020-01-26,City of Toronto Health Unit,1.0
92,2020-01-26,Durham Regional Health Unit,0.0
114,2020-01-26,Eastern Regional Integrated Health Authority,0.0
97,2020-01-26,Edmonton Zone,0.0
115,2020-01-26,Far North,0.0
90,2020-01-26,Fraser,0.0
124,2020-01-26,Grey Bruce Health Unit,0.0
158,2020-01-26,Haldimand-Norfolk Health Unit,0.0
116,2020-01-26,"Haliburton, Kawartha, Pine Ridge District Health Unit",0.0
102,2020-01-26,Halton Regional Health Unit,0.0
144,2020-01-26,Hastings and Prince Edward Counties Health Unit,0.0
117,2020-01-26,Huron County Health Unit,0.0
89,2020-01-26,Interior,0.0
125,2020-01-26,Interlake-Eastern Regional Health Authority,0.0
134,2020-01-26,"Kingston, Frontenac and Lennox and Addington Health Unit",0.0
118,2020-01-26,Labrador-Grenfell Regional Integrated Health Authority,0.0
159,2020-01-26,Lambton Health Unit,0.0
160,2020-01-26,"Leeds, Grenville and Lanark District Health Unit",0.0
87,2020-01-26,Middlesex-London Health Unit,0.0
113,2020-01-26,Niagara Regional Area Health Unit,0.0
161,2020-01-26,North Bay Parry Sound District Health Unit,0.0
130,2020-01-26,North Zone,0.0
135,2020-01-26,Northern,0.0
147,2020-01-26,Northwest Territories,0.0
120,2020-01-26,Northwestern Health Unit,0.0
86,2020-01-26,Not Reported,0.0
99,2020-01-26,Peel Regional Health Unit,0.0
126,2020-01-26,Peterborough County - City Health Unit,0.0
146,2020-01-26,Porcupine Health Unit,0.0
155,2020-01-26,Prairie Mountain Health,0.0
121,2020-01-26,Prince Edward Island,0.0
122,2020-01-26,Regina,0.0
162,2020-01-26,Renfrew County and District Health Unit,0.0
119,2020-01-26,Région de Lanaudière,0.0
143,2020-01-26,Région de Laval,0.0
91,2020-01-26,Région de Montréal,0.0
152,2020-01-26,Région de l'Abitibi-Témiscamingue,0.0
107,2020-01-26,Région de l'Estrie,0.0
140,2020-01-26,Région de l'Outaouais,0.0
123,2020-01-26,Région de la Capitale-Nationale,0.0
106,2020-01-26,Région de la Chaudière-Appalaches,0.0
154,2020-01-26,Région de la Côte-Nord,0.0
153,2020-01-26,Région de la Gaspésie Îles-de-la-Madeleine,0.0
104,2020-01-26,Région de la Mauricie et du Centre-du-Québec,0.0
98,2020-01-26,Région de la Montérégie,0.0
95,2020-01-26,Région des Laurentides,0.0
163,2020-01-26,Région des Terres-Cries-de-la-Baie-James,0.0
142,2020-01-26,Région du Bas-Saint-Laurent,0.0
145,2020-01-26,Région du Nord-du-Québec,0.0
166,2020-01-26,Région du Nunavik,0.0
148,2020-01-26,Région du Saguenay Lac-Saint-Jean,0.0
109,2020-01-26,Saskatoon,0.0
110,2020-01-26,Simcoe Muskoka District Health Unit,0.0
131,2020-01-26,South Zone,0.0
136,2020-01-26,Southern Health,0.0
100,2020-01-26,Sudbury and District Health Unit,0.0
137,2020-01-26,The District of Algoma Health Unit,0.0
164,2020-01-26,Thunder Bay District Health Unit,0.0
167,2020-01-26,Timiskaming Health Unit,0.0
88,2020-01-26,Vancouver Coastal,0.0
103,2020-01-26,Vancouver Island,0.0
96,2020-01-26,Waterloo Health Unit,0.0
132,2020-01-26,Wellington-Dufferin-Guelph Health Unit,0.0
156,2020-01-26,Western Regional Integrated Health Authority,0.0
149,2020-01-26,Windsor-Essex County Health Unit,0.0
111,2020-01-26,Winnipeg Regional Health Authority,0.0
93,2020-01-26,York Regional Health Unit,0.0
150,2020-01-26,Yukon,0.0
112,2020-01-26,Zone 1,0.0
127,2020-01-26,Zone 1 - Western,0.0
133,2020-01-26,Zone 2,0.0
151,2020-01-26,Zone 2 - Northern,0.0
128,2020-01-26,Zone 3,0.0
141,2020-01-26,Zone 3 - Eastern,0.0
157,2020-01-26,Zone 4,0.0
129,2020-01-26,Zone 4 - Central,0.0
165,2020-01-26,Zone 5,0.0
169,2020-01-26,Zone 6,0.0
168,2020-01-26,Zone 7,0.0
