Variant Grouping,_Identifier,Lineage Grouped,%CT Count of Sample #,Collection (week)
Omicron,Other Omicron,Other Omicron,0,2021-12-05
Omicron,Other Omicron,Other Omicron,0,2021-12-12
Omicron,Other Omicron,Other Omicron,0,2021-12-26
Omicron,Other Omicron,Other Omicron,0,2022-01-02
Omicron,Other Omicron,Other Omicron,0,2022-01-09
Omicron,Other Omicron,Other Omicron,0,2022-01-23
Omicron,Other Omicron,Other Omicron,0,2022-02-27
Omicron,Other Omicron,Other Omicron,0,2022-03-06
Omicron,Other Omicron,Other Omicron,0,2022-03-13
Omicron,Other Omicron,Other Omicron,0,2022-04-03
Omicron,Other Omicron,Other Omicron,0,2022-04-24
Omicron,Other Omicron,Other Omicron,0,2023-03-19
Omicron,BA.1,BA.1,0.003,2021-11-21
Omicron,BA.1,BA.1,0.02,2021-11-28
Omicron,BA.1,BA.1,0.223,2021-12-05
Omicron,BA.1,BA.1,0.57,2021-12-12
Omicron,BA.1,BA.1,0.846,2021-12-19
Omicron,BA.1,BA.1,0.938,2021-12-26
Omicron,BA.1,BA.1,0.943,2022-01-02
Omicron,BA.1,BA.1,0.949,2022-01-09
Omicron,BA.1,BA.1,0.93,2022-01-16
Omicron,BA.1,BA.1,0.905,2022-01-23
Omicron,BA.1,BA.1,0.901,2022-01-30
Omicron,BA.1,BA.1,0.9,2022-02-06
Omicron,BA.1,BA.1,0.842,2022-02-13
Omicron,BA.1,BA.1,0.769,2022-02-20
Omicron,BA.1,BA.1,0.69,2022-02-27
Omicron,BA.1,BA.1,0.591,2022-03-06
Omicron,BA.1,BA.1,0.515,2022-03-13
Omicron,BA.1,BA.1,0.365,2022-03-20
Omicron,BA.1,BA.1,0.253,2022-03-27
Omicron,BA.1,BA.1,0.158,2022-04-03
Omicron,BA.1,BA.1,0.096,2022-04-10
Omicron,BA.1,BA.1,0.057,2022-04-17
Omicron,BA.1,BA.1,0.038,2022-04-24
Omicron,BA.1,BA.1,0.03,2022-05-01
Omicron,BA.1,BA.1,0.017,2022-05-08
Omicron,BA.1,BA.1,0.01,2022-05-15
Omicron,BA.1,BA.1,0.01,2022-05-22
Omicron,BA.1,BA.1,0.003,2022-05-29
