Date,Visitors
January 2000,"2,564,365"
February 2000,"2,776,276"
March 2000,"3,100,653"
April 2000,"3,441,617"
May 2000,"4,195,367"
June 2000,"5,146,386"
July 2000,"6,668,533"
August 2000,"6,304,853"
September 2000,"4,749,119"
October 2000,"3,682,432"
November 2000,"2,969,891"
December 2000,"3,038,015"
January 2001,"2,711,389"
February 2001,"2,801,484"
March 2001,"3,252,550"
April 2001,"3,455,446"
May 2001,"4,293,937"
June 2001,"5,430,183"
July 2001,"6,854,300"
August 2001,"6,731,432"
September 2001,"3,614,253"
October 2001,"2,692,577"
November 2001,"2,510,445"
December 2001,"2,798,651"
January 2002,"2,346,588"
February 2002,"2,522,409"
March 2002,"2,993,018"
April 2002,"2,971,116"
May 2002,"3,852,637"
June 2002,"4,784,577"
July 2002,"6,154,626"
August 2002,"6,256,102"
September 2002,"3,987,390"
October 2002,"3,325,417"
November 2002,"2,761,005"
December 2002,"2,941,375"
January 2003,"2,391,075"
February 2003,"2,333,943"
March 2003,"2,475,616"
April 2003,"2,408,901"
May 2003,"3,097,651"
June 2003,"3,993,119"
July 2003,"5,303,604"
August 2003,"5,454,479"
September 2003,"3,453,640"
October 2003,"2,994,876"
November 2003,"2,432,472"
December 2003,"2,563,255"
January 2004,"2,005,306"
February 2004,"2,233,225"
March 2004,"2,377,627"
April 2004,"2,546,812"
May 2004,"3,285,013"
June 2004,"4,202,184"
July 2004,"5,616,279"
August 2004,"5,189,920"
September 2004,"3,736,616"
October 2004,"2,978,471"
November 2004,"2,253,271"
December 2004,"2,419,942"
January 2005,"1,900,770"
February 2005,"2,064,546"
March 2005,"2,298,874"
April 2005,"2,359,911"
May 2005,"3,075,618"
June 2005,"4,021,445"
July 2005,"5,344,767"
August 2005,"4,724,018"
September 2005,"3,436,087"
October 2005,"2,612,637"
November 2005,"2,025,479"
December 2005,"2,295,954"
January 2006,"1,833,564"
February 2006,"1,825,365"
March 2006,"2,076,804"
April 2006,"2,297,236"
May 2006,"2,865,733"
June 2006,"3,755,910"
July 2006,"4,805,944"
August 2006,"4,380,312"
September 2006,"3,182,245"
October 2006,"2,331,097"
November 2006,"1,855,101"
December 2006,"2,180,900"
January 2007,"1,561,001"
February 2007,"1,543,350"
March 2007,"1,821,188"
April 2007,"1,930,730"
May 2007,"2,653,574"
June 2007,"3,594,044"
July 2007,"4,370,709"
August 2007,"4,237,180"
September 2007,"2,986,680"
October 2007,"2,185,303"
November 2007,"1,649,240"
December 2007,"1,840,470"
January 2008,"1,380,869"
February 2008,"1,403,908"
March 2008,"1,591,223"
April 2008,"1,676,030"
May 2008,"2,460,246"
June 2008,"3,129,440"
July 2008,"3,978,381"
August 2008,"3,967,054"
September 2008,"2,540,740"
October 2008,"2,009,357"
November 2008,"1,529,740"
December 2008,"1,703,121"
January 2009,"1,304,991"
February 2009,"1,328,062"
March 2009,"1,470,066"
April 2009,"1,717,551"
May 2009,"2,344,314"
June 2009,"2,629,037"
July 2009,"3,513,120"
August 2009,"3,339,370"
September 2009,"2,416,355"
October 2009,"1,772,354"
November 2009,"1,303,502"
December 2009,"1,556,989"
January 2010,"1,244,702"
February 2010,"1,372,605"
March 2010,"1,460,609"
April 2010,"1,633,037"
May 2010,"2,187,652"
June 2010,"2,893,275"
July 2010,"3,830,921"
August 2010,"3,491,727"
September 2010,"2,553,089"
October 2010,"1,930,151"
November 2010,"1,397,497"
December 2010,"1,625,927"
January 2011,"1,205,792"
February 2011,"1,193,439"
March 2011,"1,356,547"
April 2011,"1,611,380"
May 2011,"2,136,897"
June 2011,"2,906,869"
July 2011,"3,776,101"
August 2011,"3,373,611"
September 2011,"2,533,444"
October 2011,"1,872,151"
November 2011,"1,397,947"
December 2011,"1,701,964"
January 2012,"1,229,844"
February 2012,"1,300,647"
March 2012,"1,453,396"
April 2012,"1,647,167"
May 2012,"2,181,573"
June 2012,"3,012,675"
July 2012,"3,615,870"
August 2012,"3,525,676"
September 2012,"2,474,048"
October 2012,"1,818,448"
November 2012,"1,381,083"
December 2012,"1,677,519"
January 2013,"1,215,381"
February 2013,"1,222,836"
March 2013,"1,503,770"
April 2013,"1,500,208"
May 2013,"2,189,503"
June 2013,"2,972,332"
July 2013,"3,614,835"
August 2013,"3,659,252"
